t_s,agent_a,agent_b,gap_m,x,y,res_a,res_b,flight_level
40.0,2,4,38.9,763.6,4251.4,DB01__TN2#A,DB01__TN7#A,0
40.0,22,46,22.25,2142.7,611.5,DB02__TN8#A,DB02__RBT02#A,5
60.0,22,46,27.99,2207.0,585.3,DB02__TN8#A,DB02__RBT02#A,5
60.0,24,48,47.91,712.5,4213.6,DB01__TN1#A,DB01__RN3#A,2
80.0,22,46,35.82,2289.0,551.9,DB02__TN8#A,DB02__RBT02#A,5
100.0,22,46,43.88,2387.5,511.8,DB02__TN8#A,DB02__RBT02#A,5
120.0,22,46,49.77,2496.4,467.3,DB02__TN8#A,DB02__RBT02#A,5
160.0,14,16,33.11,1994.8,1421.6,DB02__RBT04#A,RBT04#RING,1
180.0,28,8,28.77,756.9,4244.6,DB01__TN2#A,DB01__TN7#A,0
180.0,96,30,35.36,716.4,4207.2,DB01__TN1#A,DB01__RN3#A,2
200.0,96,30,33.71,699.4,4234.3,DB01__TN1#A,DB01__RN3#A,2
220.0,96,30,33.13,676.5,4261.4,DB01__TN1#A,DB01__RN3#A,2
240.0,96,30,37.39,642.8,4297.3,DB01__TN1#A,DB01__RN3#A,2
300.0,1,74,47.86,728.4,4196.3,DK01__DB01#A,DB01__TN2#A,0
300.0,168,78,15.49,728.0,4195.7,DB01__RN3#A,DB01__TN1#A,2
320.0,1,74,47.75,743.0,4220.6,DK01__DB01#A,DB01__TN2#A,0
320.0,168,78,9.19,712.5,4215.9,DB01__RN3#A,DB01__TN1#A,2
340.0,60,20,40.86,1697.4,1203.3,TN5__RBT06#A,DB02__TN5#A,2
340.0,168,78,5.63,698.7,4243.0,DB01__RN3#A,DB01__TN1#A,2
360.0,35,62,37.73,3005.2,154.0,RBT01__RBT02#A,RBT02#RING,0
360.0,40,64,35.82,2434.6,492.3,DB02__TN8#A,DB02__RBT02#A,5
360.0,168,78,6.05,673.7,4263.3,DB01__RN3#A,DB01__TN1#A,2
380.0,168,78,11.52,644.3,4302.5,DB01__RN3#A,DB01__TN1#A,2
380.0,66,86,0.49,2106.1,626.0,DB02__TN8#A,DB02__RBT02#A,5
400.0,29,144,13.24,775.5,4177.7,DB01__TN2#B,DK01__DB01#B,3
400.0,168,78,29.37,597.1,4360.2,DB01__RN3#A,DB01__TN1#A,2
400.0,66,86,30.99,2172.9,598.1,DB02__TN8#A,DB02__RBT02#A,5
460.0,98,72,28.15,720.6,4207.5,DB01__RN3#A,DB01__TN1#A,2
480.0,34,50,36.48,757.4,4232.5,DB01__TN7#A,DB01__TN2#A,0
480.0,98,72,25.29,705.1,4232.7,DB01__RN3#A,DB01__TN1#A,2
500.0,34,50,25.71,774.9,4248.4,DB01__TN7#A,DB01__TN2#A,0
500.0,98,72,19.47,681.2,4257.8,DB01__RN3#A,DB01__TN1#A,2
520.0,34,50,29.63,793.2,4265.5,DB01__TN7#A,DB01__TN2#A,0
520.0,98,72,21.76,649.8,4294.5,DB01__RN3#A,DB01__TN1#A,2
540.0,20,108,14.65,1994.4,1433.9,RBT04#RING,DB02__RBT04#A,1
540.0,98,72,30.07,601.6,4353.7,DB01__RN3#A,DB01__TN1#A,2
560.0,20,108,38.85,2020.4,1428.2,RBT04#RING,DB02__RBT04#A,1
